duration,router,agents,graph,resolver,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.578,67541,-,225.61515903945244,-,1.220378696017001,320.1052479995041,1856.728
43200,astar,1000,maps/small_map.geojson,semaphore,0,22.600,64897,-,251.07190090069489,-,1.227219744906324,331.56109869791175,1937.506
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.399,65658,-,236.89105179155177,-,1.2188774646754221,327.6555818471377,1871.377
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.175,66466,-,236.8083732579944,-,1.2242785074313007,324.50126764877405,1890.014
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.464,66633,-,231.309682085599,-,1.2253219699861992,323.70287996718986,1865.467
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.087,65391,-,243.52647323343086,-,1.2242052302501742,329.960756398585,1896.807
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.297,66691,-,230.7936938286329,-,1.223580146331232,323.9518881556252,1880.541
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.395,66634,-,236.4217898171878,-,1.2265872330212915,324.318394471965,1870.748
43200,astar,1000,maps/small_map.geojson,semaphore,0,24.138,66582,-,236.5633441412422,-,1.2267497442638344,325.11891989666304,1812.833
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.162,65701,-,240.34175917695637,-,1.2251456077259884,327.91203685775395,1890.643
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.426,66455,-,228.63052620385682,-,1.2167795689292988,325.05824340917525,1868.609
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.404,66544,-,231.19128496928195,-,1.2211982180268273,324.54056685461234,1870.148
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.247,66089,-,231.73895673957887,-,1.2203505171267282,325.95720803552194,1883.504
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.422,66599,-,230.57402317043957,-,1.2181903390894286,323.7406362903341,1870.089
43200,astar,1000,maps/small_map.geojson,semaphore,0,23.417,66202,-,234.73262295877072,-,1.2232735593517832,325.77702148392393,1869.449
