duration,router,agents,graph,resolver,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,stat,100,maps/small_map.geojson,reverse,0,3.574,18519,44145,2.803216449084608,3.5873364173563695,1.9886677501850307,116.6471384922019,13189.301
43200,stat,100,maps/small_map.geojson,reverse,0,3.549,18430,44237,2.7785029704967608,3.5162556108825878,1.987632856559602,117.16558102800694,13245.415
43200,stat,100,maps/small_map.geojson,reverse,0,3.560,18528,43423,2.679857089327481,3.521271190674658,1.9896413754095779,116.50287188537051,13228.387
43200,stat,100,maps/small_map.geojson,reverse,0,3.545,18397,44835,2.7517769438551873,3.429647754223905,1.9849345711878925,117.32262251272329,13289.692
43200,stat,100,maps/small_map.geojson,reverse,0,3.562,18466,43210,2.7078596880439236,3.606351976899787,1.9880041656339713,116.92299997194377,13259.325
43200,stat,100,maps/small_map.geojson,reverse,0,3.556,18302,45214,2.8278936448797967,3.520825632995901,1.988413542466481,117.87864529094318,13217.420
43200,stat,100,maps/small_map.geojson,reverse,0,3.545,18427,44240,2.688936842379229,3.4794632093980815,1.9896407456305922,117.15001357862845,13253.146
43200,stat,100,maps/small_map.geojson,reverse,0,3.589,18442,44025,2.705481515138613,3.6710687778031,1.990996985831104,117.16891164869273,13154.112
43200,stat,100,maps/small_map.geojson,reverse,0,3.577,18456,44167,2.735875387629691,3.481808321801993,1.9864726926688732,116.977737997426,13225.049
43200,stat,100,maps/small_map.geojson,reverse,0,3.563,18455,44629,2.7723564113763848,3.456430958334228,1.9885699984287821,117.01486856645145,13244.060
43200,stat,100,maps/small_map.geojson,reverse,0,3.601,18328,44006,2.7679649353018063,3.671402021973674,1.987671982771081,117.84301363031963,13136.268
43200,stat,100,maps/small_map.geojson,reverse,0,3.565,18354,45038,2.7455837845112447,3.633627121887593,1.9876534566807806,117.68628873758807,13213.360
43200,stat,100,maps/small_map.geojson,reverse,0,3.551,18286,45367,2.8350864958880555,3.3302698446513292,1.986099867282942,118.05436276427331,13295.102
43200,stat,100,maps/small_map.geojson,reverse,0,3.560,18413,44146,2.763758370277013,3.5541953639642276,1.9884177290524874,117.31295646640653,13236.008
43200,stat,100,maps/small_map.geojson,reverse,0,3.548,18369,43607,2.806239132931329,3.5931538750182264,1.9871084046393004,117.57734619797466,13272.911
43200,stat,100,maps/small_map.geojson,reverse,0,3.564,18354,45526,2.753621876605328,3.4825167143925757,1.9880444850133296,117.62325651070874,13199.402
43200,stat,100,maps/small_map.geojson,reverse,0,3.565,18232,45354,2.938270832174248,3.600395907338146,1.9832636818964573,118.39687817372135,13203.762
43200,stat,100,maps/small_map.geojson,reverse,0,3.552,18434,42968,2.7410878537519623,3.6291014683581224,1.9895916224516053,117.17456812160576,13245.378
43200,stat,100,maps/small_map.geojson,reverse,0,3.570,18368,44873,2.8100129287602917,3.411370361358769,1.9877839592483815,117.54126832629554,13213.628
43200,stat,100,maps/small_map.geojson,reverse,0,3.575,18467,43927,2.6800454820014323,3.590861308048208,1.9900761530687943,116.99458352450729,13194.725
43200,stat,100,maps/small_map.geojson,reverse,0,3.571,18298,44203,2.8582577284725033,3.6085483315832683,1.98758070647761,117.99688945990336,13179.420
43200,stat,100,maps/small_map.geojson,reverse,0,3.570,18348,44208,2.8606078580697627,3.627890871421769,1.986770964979041,117.69500122691034,13222.530
43200,stat,100,maps/small_map.geojson,reverse,0,3.560,18424,43416,2.772101176311636,3.624989305724183,1.99154524163747,117.24899467354108,13216.942
43200,stat,100,maps/small_map.geojson,reverse,0,3.571,18383,43685,2.7919415900255395,3.6761296586451775,1.985880974700023,117.41963667960748,13208.636
43200,stat,100,maps/small_map.geojson,reverse,0,3.554,18479,43740,2.737321693463461,3.429233684917744,1.990311084953463,116.87904619875489,13269.461
43200,stat,100,maps/small_map.geojson,reverse,0,3.567,18406,44693,2.7985167705833462,3.651405260564499,1.9859946612238097,117.21885043000268,13196.459
43200,stat,100,maps/small_map.geojson,reverse,0,3.570,18414,44464,2.765589465683544,3.443434022228897,1.988651625470755,117.31095674302078,13218.696
43200,stat,100,maps/small_map.geojson,reverse,0,3.575,18504,43613,2.6580328822736945,3.5853262503463323,1.9887586954087515,116.65392045360043,13179.413
43200,stat,100,maps/small_map.geojson,reverse,0,3.637,18415,45347,2.750786795843651,3.427807435395953,1.9868264350252263,117.13369113196221,12962.100
43200,stat,100,maps/small_map.geojson,reverse,0,3.554,18390,45555,2.8502801613070674,3.4393357599703114,1.9867240100210934,117.41601731506717,13249.251
43200,stat,100,maps/small_map.geojson,reverse,0,3.574,18408,42884,2.8336032988994124,3.7325352649338646,1.9878604367091808,117.34314002733757,13201.753
43200,stat,100,maps/small_map.geojson,reverse,0,3.582,18361,44508,2.840261930168867,3.6306532173281294,1.986605546705907,117.63050805762538,13124.155
43200,stat,100,maps/small_map.geojson,reverse,0,3.577,18398,43662,2.7546110504011008,3.5414481242522498,1.989424042486013,117.36891700585376,13179.023
43200,stat,100,maps/small_map.geojson,reverse,0,3.564,18415,44273,2.8235887786284812,3.545300932159843,1.9884954526516847,117.25848579489116,13230.413
43200,stat,100,maps/small_map.geojson,reverse,0,3.564,18533,43486,2.640427021331227,3.5815408219448814,1.989489384235069,116.58293335400938,13213.937
43200,stat,100,maps/small_map.geojson,reverse,0,3.577,18428,44512,2.761155895211893,3.6061752841668215,1.9869914673547249,117.28823289475147,13184.029
43200,stat,100,maps/small_map.geojson,reverse,0,3.558,18340,44414,2.7929296051490837,3.5866213763383445,1.9837629347467696,117.7714987705449,13242.230
43200,stat,100,maps/small_map.geojson,reverse,0,3.559,18438,42893,2.716175998577558,3.6793717863575233,1.9906433430495227,117.13543832880794,13248.611
43200,stat,100,maps/small_map.geojson,reverse,0,3.599,18357,45292,2.7692508072393567,3.513233215943355,1.988704030877575,117.6493670531195,13169.423
43200,stat,100,maps/small_map.geojson,reverse,0,3.571,18386,44014,2.757294828493302,3.4600099169180565,1.989102694440583,117.44657698287243,13174.001
43200,stat,100,maps/small_map.geojson,reverse,0,3.573,18337,44317,2.813967738234964,3.706666009967696,1.986604899577275,117.7034910054076,13177.316
43200,stat,100,maps/small_map.geojson,reverse,0,3.580,18388,44694,2.7452794477621962,3.5944168371530973,1.987598666581285,117.50118768632743,13147.884
43200,stat,100,maps/small_map.geojson,reverse,0,3.586,18442,43549,2.7201674077723292,3.691430362261744,1.9882072043104768,117.08605408833293,13170.579
43200,stat,100,maps/small_map.geojson,reverse,0,3.564,18370,44737,2.817664695802809,3.61192843422591,1.9852509567084693,117.35084293284238,13218.579
43200,stat,100,maps/small_map.geojson,reverse,0,3.565,18321,45006,2.884154939289525,3.5761033940995692,1.9856520256788028,117.9248769944538,13215.226
43200,stat,100,maps/small_map.geojson,reverse,0,3.566,18385,43888,2.8107178765114886,3.6681656775053813,1.9877885823665926,117.42650126542415,13205.886
43200,stat,100,maps/small_map.geojson,reverse,0,3.567,18412,42896,2.7382947553257786,3.652703766701612,1.9899634160518684,117.27118616318877,13216.816
43200,stat,100,maps/small_map.geojson,reverse,0,3.560,18499,43938,2.6876885283157255,3.5505196061117656,1.9885080966287927,116.71945068231862,13215.404
43200,stat,100,maps/small_map.geojson,reverse,0,3.554,18330,44314,2.79217572278125,3.5545385258102526,1.988256605358576,117.82193030273808,13255.625
43200,stat,100,maps/small_map.geojson,reverse,0,3.574,18247,44337,2.731520849192218,3.620645967575005,1.986716722903501,118.35623181946943,13173.667
43200,stat,100,maps/small_map.geojson,reverse,0,3.556,18496,43890,2.6769567441383546,3.532509869127772,1.9887385036796177,116.74037643778362,13254.785
43200,stat,100,maps/small_map.geojson,reverse,0,3.586,18410,43748,2.736904456029351,3.68281425047301,1.9888519327742207,117.26941416243113,13183.491
43200,stat,100,maps/small_map.geojson,reverse,0,3.574,18487,43555,2.714542034416608,3.6055355535255904,1.9883378714015045,116.84049011548977,13165.342
43200,stat,100,maps/small_map.geojson,reverse,0,3.560,18375,45024,2.767099201242182,3.4346657660196205,1.9882705319598344,117.50636767295386,13230.452
43200,stat,100,maps/small_map.geojson,reverse,0,3.611,18303,44751,2.7943903787449633,3.503161777166369,1.9887411865420948,117.99228665112244,13014.338
43200,stat,100,maps/small_map.geojson,reverse,0,3.561,18453,43033,2.734534332354602,3.671124350331809,1.9891159954020479,116.99875206763564,13224.759
43200,stat,100,maps/small_map.geojson,reverse,0,3.565,18428,43720,2.682399122533849,3.592428296337338,1.9913533244510622,117.20870734527925,13206.932
43200,stat,100,maps/small_map.geojson,reverse,0,3.548,18423,43998,2.7595654267601164,3.4966027831136643,1.9891683140684515,117.21022721000931,13249.829
43200,stat,100,maps/small_map.geojson,reverse,0,3.550,18421,44447,2.7938188187951565,3.4508277700050276,1.9890394850986988,117.24991167663325,13266.424
43200,stat,100,maps/small_map.geojson,reverse,0,3.671,18396,44560,2.7363056081851256,3.444235460548548,1.990266891242927,117.4349217571121,13095.610
43200,stat,100,maps/small_map.geojson,reverse,0,3.585,18442,43584,2.784556272378703,3.6373108148444135,1.9884907440352326,116.96357419925452,13134.221
43200,stat,100,maps/small_map.geojson,reverse,0,3.572,18584,43773,2.698884340386296,3.5629106340198007,1.9906727326126625,116.229417153001,13196.361
43200,stat,100,maps/small_map.geojson,reverse,0,3.558,18442,44101,2.8206502910488913,3.56596416758318,1.9873902553728426,117.11215173966932,13222.313
43200,stat,100,maps/small_map.geojson,reverse,0,3.572,18457,43711,2.7579439520189264,3.5745136671694264,1.9912465318441317,117.04319081886628,13165.516
43200,stat,100,maps/small_map.geojson,reverse,0,3.564,18396,44374,2.881947403812113,3.4176640689825555,1.9890043580023384,117.39446682176033,13254.434
43200,stat,100,maps/small_map.geojson,reverse,0,3.616,18337,43797,2.735184290524902,3.60304568524997,1.9899379998513929,117.78696637710827,13015.721
43200,stat,100,maps/small_map.geojson,reverse,0,3.573,18453,44421,2.7202130357373924,3.5135846093151093,1.9888633569589587,116.98842522154177,13199.599
43200,stat,100,maps/small_map.geojson,reverse,0,3.544,18339,46375,2.8272417886586125,3.2264112620549796,1.9883075502191556,117.78117698343303,13284.905
43200,stat,100,maps/small_map.geojson,reverse,0,3.570,18373,44143,2.7773832355376573,3.585600434228038,1.9881801544118611,117.5134699764267,13218.966
