duration,router,agents,graph,resolver,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,stat,10,maps/medium_map.geojson,reverse,0,0.602,611,43,0.5761904761868609,10.32093023248783,2.142869731126957,355.2306930664526,148278.213
43200,stat,10,maps/medium_map.geojson,reverse,0,0.606,616,71,0.5797101449229493,10.94507042245335,2.14014072676737,350.6793637818501,147645.021
43200,stat,10,maps/medium_map.geojson,reverse,0,0.606,605,59,0.5847457627058775,11.147457627011221,2.1374728882348277,356.6907130982959,147256.972
43200,stat,10,maps/medium_map.geojson,reverse,0,0.611,611,55,0.5581818181771516,14.430909090805297,2.1404655777126744,353.20337170769346,146361.936
43200,stat,10,maps/medium_map.geojson,reverse,0,0.606,594,48,0.5666666666631149,9.610416666587591,2.1417787708606184,363.0043956014843,147699.392
43200,stat,10,maps/medium_map.geojson,reverse,0,0.608,606,52,0.5865384615334457,11.988461538364922,2.139098556183458,355.4259933746333,146460.944
43200,stat,10,maps/medium_map.geojson,reverse,0,0.609,609,52,0.5480769230729522,11.530769230680091,2.1384068964245433,353.51835390662933,147640.135
43200,stat,10,maps/medium_map.geojson,reverse,0,0.598,610,50,0.5699999999954298,11.447999999911062,2.141197712365868,353.47656249716306,148243.366
43200,stat,10,maps/medium_map.geojson,reverse,0,0.608,598,59,0.6389830508411233,12.308474576134431,2.139220187786535,360.24743912389687,146305.037
43200,stat,10,maps/medium_map.geojson,reverse,0,0.684,601,57,0.5929824561358206,11.607017543759087,2.1358716741595556,359.2321906325694,145214.473
43200,stat,10,maps/medium_map.geojson,reverse,0,0.612,614,57,0.5947368420999922,13.866666666548298,2.1390866127324175,352.7114754070024,148183.563
43200,stat,10,maps/medium_map.geojson,reverse,0,0.603,594,66,0.5984615384563557,15.049230769128707,2.134846887317368,364.6767993196757,146614.445
43200,stat,10,maps/medium_map.geojson,reverse,0,0.601,609,76,0.6026315789423417,11.955263157782577,2.1375404592827145,354.8530528024307,147461.521
43200,stat,10,maps/medium_map.geojson,reverse,0,0.610,608,40,0.5549999999950757,10.529999999901596,2.1428719845586293,354.5972772248773,147442.496
43200,stat,10,maps/medium_map.geojson,reverse,0,0.600,592,50,0.583999999994553,10.435999999896298,2.140730527500299,364.6090831889255,147863.050
43200,stat,10,maps/medium_map.geojson,reverse,0,0.598,595,82,0.5707317073125349,13.225609755995587,2.1383758287396164,362.6623310781726,145947.705
43200,stat,10,maps/medium_map.geojson,reverse,0,0.610,613,67,0.586363636359367,11.586567164077572,2.137058936578485,351.22068683283237,141003.141
43200,stat,10,maps/medium_map.geojson,reverse,0,0.608,616,65,0.5749999999952484,9.952307692231411,2.1396133037584795,349.88306188644304,148903.684
43200,stat,10,maps/medium_map.geojson,reverse,0,0.613,601,50,0.5879999999949223,10.417999999915637,2.142745298755587,358.7979096961199,147605.689
43200,stat,10,maps/medium_map.geojson,reverse,0,0.606,604,52,0.5903846153800075,13.559615384515922,2.1413946125728907,357.65910224151565,142206.265
43200,stat,10,maps/medium_map.geojson,reverse,0,0.602,612,36,0.5972222222180158,11.711111111045422,2.142360794363984,352.49868852175933,145082.366
43200,stat,10,maps/medium_map.geojson,reverse,0,0.609,596,69,0.578260869560897,10.442028985427878,2.135096455538132,363.152613825073,147910.549
43200,stat,10,maps/medium_map.geojson,reverse,0,0.609,609,54,0.5716981132043111,10.231481481424115,2.1450115749761265,354.45737839781333,144478.535
43200,stat,10,maps/medium_map.geojson,reverse,0,0.605,609,56,0.6142857142816764,11.982142857055079,2.1393480292096174,354.03388157610243,147857.644
43200,stat,10,maps/medium_map.geojson,reverse,0,0.605,599,61,0.6049999999946939,11.594999999914195,2.137247665477952,360.39069572216926,148105.434
43200,stat,10,maps/medium_map.geojson,reverse,0,0.614,600,57,0.5631578947320751,12.84210526307131,2.1361914572517713,359.51892797031707,143097.487
43200,stat,10,maps/medium_map.geojson,reverse,0,0.605,600,57,0.5928571428513923,14.18245614018731,2.135185708025763,359.0688442182292,145986.731
43200,stat,10,maps/medium_map.geojson,reverse,0,0.608,610,66,0.6439393939337346,11.998484848382311,2.1388341913073523,353.20213639815034,147364.091
43200,stat,10,maps/medium_map.geojson,reverse,0,0.602,610,59,0.5896551724085526,11.018644067720992,2.1424777503088546,353.60996704823623,147852.229
43200,stat,10,maps/medium_map.geojson,reverse,0,0.607,607,65,0.5874999999953854,11.734374999906702,2.1389107837110757,355.1589743561261,147878.548
43200,stat,10,maps/medium_map.geojson,reverse,0,0.594,608,65,0.5799999999949911,11.036923076836834,2.1367223550018903,354.5854425116341,147830.017
